president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,,
Donald Trump,All polls,7/3/2018,5/31/2018,6/4/2018,Ipsos,B+,1593,a,0.1504215,0.0010359,38.9,55.2,39.16972,53.88869,,T,http://polling.reuters.com/#poll/CP3_2/,52504,82936,6/5/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,5/31/2018,6/4/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2427246,0.0015966,48,50,42.76586,50.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52512,82957,6/6/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,5/29/2018,6/5/2018,IBD/TIPP,A-,905,a,1.519908,0.0156676,36,55,38.0829,53.26029,,,https://www.investors.com/politics/trump-job-approval-economy-korea-favorability-ibd-tipp-poll/,52524,82976,6/7/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,5/31/2018,6/4/2018,Morning Consult,B-,1990,rv,0.5729502,0.0034982,43,52,39.57074,54.47749,,,https://morningconsult.com/wp-content/uploads/2018/06/180557_crosstabs_POLITICO_v1_DK.pdf,52513,82958,6/6/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/1/2018,6/3/2018,YouGov,B,1000,a,0.2077549,0.001231,40,52,40.82018,54.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jxwi85sbem/tabs_Trump_Tweets_20180601.pdf,52487,82918,6/4/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/1/2018,6/4/2018,NBC News/Wall Street Journal,A-,900,rv,1.484638,0.0319277,44,53,43.66942,53.35004,,,https://www.wsj.com/public/resources/documents/18416NBCWSJJunePoll060718Release.pdf,52525,82977,6/7/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/1/2018,6/5/2018,Greenberg Quinlan Rosner,B-,1400,rv,1.438702,0.0309398,45,55,43.89818,55.19574,,,http://www.democracycorps.com/attachments/article/1085/Toplines_Dcorps-AFT%20June%20National%20Web-Survey.pdf,52560,83044,6/15/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,5/31/2018,6/6/2018,SurveyMonkey,D-,29493,a,0.3984748,0.0058644,45,53,42.84014,51.53904,,,https://drive.google.com/file/d/1XApnTBEC8z0pM2mlsBBLTzZd-Xuyx9oA/view,52528,82981,6/7/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,5/31/2018,6/5/2018,Quinnipiac University,A-,1223,rv,1.739383,0.0352025,40,51,41.69376,49.54246,,,https://poll.qu.edu/search-releases/search-results/release-detail?What=&strArea=6,0,&strTime=28&ReleaseID=2544#Question001,52523,82973,6/6/2018,15:18:36  3 Jul 2018
Donald Trump,All polls,7/3/2018,6/1/2018,6/5/2018,Ipsos,B+,1534,a,0.1446405,0.0019796,37.7,56.2,37.96972,54.88869,,T,http://polling.reuters.com/#poll/CP3_2/,52535,82990,6/9/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/3/2018,6/5/2018,YouGov,B,1500,a,0.3034661,0.0055197,39,53,39.82018,55.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/dtt00zl5up/econTabReport.pdf,52514,82960,6/6/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/3/2018,6/5/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.134719,0.0026668,49,49,43.76586,49.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52511,82956,6/6/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/2/2018,6/6/2018,Ipsos,B+,1512,a,0.1421319,0.0029069,38.8,55.9,39.06972,54.58869,,T,http://polling.reuters.com/#poll/CP3_2/,52534,82989,6/9/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/3/2018,6/6/2018,Fox News,A,1001,rv,1.804042,0.0775932,45,51,43.37115,51.9257,,,http://www.foxnews.com/politics/interactive/2018/06/07/fox-news-poll-67.html,52529,82983,6/7/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/3/2018,6/7/2018,Ipsos,B+,1583,a,0.1482494,0.0040334,38.4,55.8,38.66972,54.48869,,T,http://polling.reuters.com/#poll/CP3_2/,52533,82988,6/9/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/4/2018,6/6/2018,Zogby Interactive/JZ Analytics,C,878,lv,0.8755838,0.0351545,44,52,41.88889,53.23625,,,https://zogbyanalytics.com/news/854-the-zogby-poll-trump-s-job-approval-drops-but-remains-close-to-obama-s-rating-at-the-same-point-more-voters-still-trust-trump-compared-to-dems-with-economy-and-security-more-millennials-and-generation-z-voters-optimistic-about-the-next-four-years,52571,83067,6/18/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/4/2018,6/6/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1352754,0.0035658,49,49,43.76586,49.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52527,82980,6/7/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/5/2018,6/7/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1356029,0.0044712,47,51,41.76586,51.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52531,82986,6/8/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/4/2018,6/8/2018,Ipsos,B+,1559,a,0.1453048,0.0049399,39.5,55.2,39.76972,53.88869,,T,http://polling.reuters.com/#poll/CP3_2/,52546,83010,6/12/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/5/2018,6/6/2018,YouGov,B,1000,a,0.1982803,0.0061245,41,51,41.82018,53.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/pzlp6sn41y/tabs_Trump_Tweets_20180605.pdf,52530,82985,6/7/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/6/2018,6/7/2018,YouGov,B,1000,a,0.1945982,0.0073562,40,52,40.82018,54.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jtrsh05wxt/tabs_Trump_Tweets_20180606.pdf,52532,82987,6/8/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/5/2018,6/9/2018,Ipsos,B+,1541,a,0.1427744,0.0058344,40.3,54.9,40.56972,53.58869,,T,http://polling.reuters.com/#poll/CP3_2/,52545,83009,6/12/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/4/2018,6/10/2018,Gallup,B,1500,a,0.8403791,0.0371691,42,54,43.10976,52.0396,,,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx,52540,83004,6/11/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/6/2018,6/10/2018,Ipsos,B+,1496,a,0.1375219,0.0065853,40.3,54.5,40.56972,53.18869,,T,http://polling.reuters.com/#poll/CP3_2/,52544,83008,6/12/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/7/2018,6/8/2018,YouGov,B,1000,a,0.190702,0.0085879,40,53,40.82018,55.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l2a9yhxr2i/tabs_Trump_Tweets_20180607.pdf,52537,83001,6/11/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/6/2018,6/10/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0816029,0.0037938,47,52,41.76586,52.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52536,83000,6/11/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/7/2018,6/11/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2437467,0.0130685,49,50,43.76586,50.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52542,83006,6/12/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/5/2018,6/12/2018,Pew Research Center,B-,2002,a,1.732951,0.1490711,40,54,41.60276,51.66085,,,http://www.people-press.org/2018/06/20/voters-more-focused-on-control-of-congress-and-the-president-than-in-past-midterms/,52585,83097,6/20/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/8/2018,6/10/2018,Public Policy Polling,B,679,rv,1.088835,0.0936632,39,54,38.30305,54.4044,,,https://www.publicpolicypolling.com/wp-content/uploads/2018/06/PPP_Release_National_61318.pdf,52549,83031,6/13/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/8/2018,6/10/2018,YouGov,B,1000,a,0.1875448,0.0098318,39,50,39.82018,52.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3i93u683vp/tabs_Trump_Tweets_20180608.pdf,52538,83002,6/11/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/7/2018,6/10/2018,Morning Consult,B-,1957,rv,0.5346845,0.0279013,45,52,41.57074,54.47749,*,,https://www.politico.com/f/?id=00000163-f6ef-d9aa-af77-feff2ba10000,52541,83026,6/13/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/7/2018,6/11/2018,Ipsos,B+,1552,a,0.1413127,0.0077863,39.7,54,39.96972,52.68869,,T,http://polling.reuters.com/#poll/CP3_2/,52543,83007,6/12/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/8/2018,6/12/2018,Ipsos,B+,2373,a,0.2130453,0.0133666,41.4,53.9,41.66972,52.58869,,T,http://polling.reuters.com/#poll/CP3_2/,52563,83048,6/15/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/9/2018,6/10/2018,YouGov,B,1000,a,0.1853962,0.011092,42,49,42.82018,51.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8dne9s9dpq/tabs_Trump_Tweets_20180609.pdf,52539,83003,6/11/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/7/2018,6/13/2018,SurveyMonkey,D-,13747,a,0.2363557,0.0143931,45,52,42.84014,50.53904,,,https://drive.google.com/file/d/1XkuWgvzNw5U_nMy9i7LDtrd9CgPdFkRE/view,52554,83036,6/14/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/9/2018,6/13/2018,Ipsos,B+,2479,a,0.2201681,0.0155085,42.3,53.3,42.56972,51.98869,,T,http://polling.reuters.com/#poll/CP3_2/,52562,83047,6/15/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/10/2018,6/12/2018,YouGov,B,1500,a,0.2762459,0.0185591,42,48,42.82018,50.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0kj6rhpqso/econTabReport.pdf,52548,83024,6/13/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/10/2018,6/12/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1355088,0.0092235,49,49,43.76586,49.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52547,83023,6/13/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/11/2018,6/13/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1362547,0.0121027,49,49,43.76586,49.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52552,83034,6/14/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/11/2018,6/13/2018,YouGov,B,1000,a,0.1837805,0.0162007,43,48,43.82018,50.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3eruuqzyh6/tabs_Trump_Tweets_20180611.pdf,52557,83041,6/15/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/10/2018,6/14/2018,Ipsos,B+,2507,a,0.2210487,0.0203748,42.9,52.9,43.16972,51.58869,,T,http://polling.reuters.com/#poll/CP3_2/,52561,83046,6/15/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/12/2018,6/14/2018,Morning Consult,B-,1993,rv,0.5050065,0.0582498,43,52,39.57074,54.47749,,,https://morningconsult.com/wp-content/uploads/2018/06/180621_crosstabs_POLITICO_v1_DK.pdf,52564,83058,6/15/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/12/2018,6/13/2018,Monmouth University,A+,806,a,1.735975,0.2791071,43,46,43.19596,47.69796,,,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_061418,52555,83038,6/14/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/11/2018,6/15/2018,Ipsos,B+,2578,a,0.2266084,0.0257639,43.2,52.9,43.46972,51.58869,,T,http://polling.reuters.com/#poll/CP3_2/,52576,83076,6/19/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/12/2018,6/14/2018,YouGov,B,1000,a,0.1833183,0.0200232,44,46,44.82018,48.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5nv932wqj8/tabs_Trump_Tweets_20180612.pdf,52558,83042,6/15/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/12/2018,6/14/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.13688,0.0150135,47,51,41.76586,51.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52556,83040,6/15/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/13/2018,6/14/2018,YouGov,B,1000,a,0.1830249,0.0238623,43,51,43.82018,53.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/20gb8t3r2w/tabs_Trump_Tweets_20180613.pdf,52559,83043,6/15/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/11/2018,6/17/2018,Gallup,B,1500,a,0.8528994,0.1230171,45,50,46.10976,48.0396,,,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx,52567,83062,6/18/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/12/2018,6/16/2018,Ipsos,B+,2503,a,0.2202932,0.0297152,44.1,51.9,44.36972,50.58869,,T,http://polling.reuters.com/#poll/CP3_2/,52579,83075,6/19/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/13/2018,6/17/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0828798,0.012616,48,50,42.76586,50.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52565,83059,6/18/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/13/2018,6/17/2018,Ipsos,B+,1687,a,0.1492727,0.0232385,43.1,52.6,43.36972,51.28869,,T,http://polling.reuters.com/#poll/CP3_2/,52578,83074,6/19/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/14/2018,6/15/2018,YouGov,B,1000,a,0.1826572,0.027752,40,51,40.82018,53.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/w1ob3go6vp/tabs_Trump_Tweets_20180614.pdf,52566,83060,6/18/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/14/2018,6/17/2018,Quinnipiac University,A-,905,rv,1.365725,0.3073921,43,52,44.69376,50.54246,,,https://poll.qu.edu/national/release-detail?ReleaseID=2551,52583,83094,6/20/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/14/2018,6/17/2018,CBS News,A-,1100,a,1.839371,0.4426546,42,52,43.16127,51.32074,,,https://www.cbsnews.com/news/mixed-views-of-trump-kim-summit-fewer-uneasy-about-conflict-now/,52574,83070,6/18/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/11/2018,6/20/2018,Kaiser Family Foundation,,1492,a,1.856663,0.4468159,42,54,42.53371,52.38422,,,https://goo.gl/WCMA53,52671,83216,6/26/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/13/2018,6/18/2018,Suffolk University,B+,1000,rv,1.491611,0.3589641,43.1,50.8,42.79145,50.91473,,,http://www.suffolk.edu/documents/SUPRC/6_21_2018_marginals.pdf,52590,83105,6/21/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/14/2018,6/18/2018,Ipsos,B+,1904,a,0.169386,0.0298934,42.5,52.5,42.76972,51.18869,,T,http://polling.reuters.com/#poll/CP3_2/,52577,83073,6/19/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/14/2018,6/18/2018,Morning Consult,B-,1994,rv,0.495571,0.0940062,44,51,40.57074,53.47749,,,https://morningconsult.com/wp-content/uploads/2018/06/180623_crosstabs_POLITICO_vnoPOL7_DK.pdf,52582,83092,6/20/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/14/2018,6/18/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2484946,0.0434105,48,50,42.76586,50.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52575,83071,6/19/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/13/2018,6/18/2018,AP-NORC,,1109,a,1.31501,0.3164643,41,57,42.38039,52.76605,,,http://www.apnorc.org/PDFs/AP-NORC%20Omnibus%20June%202018/June%202018%20AP-NORC%20Poll%20Topline_FINAL.pdf,52586,83100,6/20/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/14/2018,6/17/2018,CNN/SSRS,A-,1012,a,1.641384,0.395008,39,54,39.72778,53.20118,,,http://cdn.cnn.com/cnn/2018/images/06/18/rel6a.-.immigration.pdf,52570,83065,6/18/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/14/2018,6/20/2018,SurveyMonkey,D-,11652,a,0.2684194,0.0487337,44,54,41.84014,52.53904,,,https://drive.google.com/file/d/1Ycp4nAdnNl_zkJkl-vYKVC1PkXfCNmbG/view,52589,83103,6/21/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/16/2018,6/17/2018,YouGov,B,1000,a,0.1809709,0.0356828,44,47,44.82018,49.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jtq6lr3gyb/tabs_Trump_Tweets_20180616.pdf,52573,83069,6/18/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/15/2018,6/19/2018,McLaughlin & Associates,C-,1000,lv,0.8433074,0.222644,49,48,44.96852,49.88081,,,http://mclaughlinonline.com/2018/06/21/national-for-america-survey-results/,52591,83107,6/21/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/15/2018,6/18/2018,YouGov,B,1000,a,0.1809709,0.0356828,40,52,40.82018,54.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hc3agg6pf7/tabs_Trump_Tweets_20180615.pdf,52572,83068,6/18/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/15/2018,6/19/2018,Ipsos,B+,1902,a,0.1701503,0.0335904,42.6,52.6,42.86972,51.28869,,T,http://polling.reuters.com/#poll/CP3_2/,52595,83112,6/22/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/16/2018,6/19/2018,Public Opinion Strategies,B,800,a,1.190068,0.349769,41,47,41.39379,48.29234,,,https://www.cnbc.com/2018/06/25/majority-of-americans-approve-of-trumps-handling-of-the-economy.html,52667,83212,6/25/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/17/2018,6/19/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1398832,0.0307236,48,50,42.76586,50.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52580,83088,6/20/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/17/2018,6/19/2018,YouGov,B,1500,a,0.2721941,0.0597616,41,48,41.82018,50.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/rbrysksiud/econTabReport.pdf,52581,83089,6/20/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/16/2018,6/20/2018,Ipsos,B+,1907,a,0.1715522,0.0374964,41.7,53.6,41.96972,52.28869,,T,http://polling.reuters.com/#poll/CP3_2/,52594,83111,6/22/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/18/2018,6/20/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1415574,0.034245,46,52,40.76586,52.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52587,83101,6/21/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/17/2018,6/21/2018,Ipsos,B+,1930,a,0.1746171,0.0419139,40.3,55.6,40.56972,54.28869,,T,http://polling.reuters.com/#poll/CP3_2/,52593,83110,6/22/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/17/2018,6/20/2018,American Research Group,C+,1100,lv,1.154902,0.3701837,40,54,41.9022,51.55806,,,http://americanresearchgroup.com/economy/,52588,83102,6/21/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/19/2018,6/20/2018,YouGov,B,1000,a,0.1831578,0.0487046,44,48,44.82018,50.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/duqe0eex14/tabs_Trump_Tweets_20180619.pdf,52663,83207,6/24/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/19/2018,6/21/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1424448,0.0379403,46,52,40.76586,52.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52592,83109,6/22/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/18/2018,6/22/2018,Ipsos,B+,1903,a,0.1704877,0.0453595,41.5,54.5,41.76972,53.18869,,T,http://polling.reuters.com/#poll/CP3_2/,52689,83248,6/26/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/19/2018,6/21/2018,Morning Consult,B-,1994,rv,0.5237451,0.1478453,44,51,40.57074,53.47749,,,https://morningconsult.com/wp-content/uploads/2018/06/180631_crosstabs_POLITICO_V1_HS.pdf,52672,83217,6/26/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/20/2018,6/21/2018,YouGov,B,1000,a,0.1837988,0.0534817,38,51,38.82018,53.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b4cocyb4d5/tabs_Trump_Tweets_20180620.pdf,52664,83209,6/25/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/19/2018,6/23/2018,Ipsos,B+,1489,a,0.1327122,0.0387581,40.8,55,41.06972,53.68869,,T,http://polling.reuters.com/#poll/CP3_2/,52688,83247,6/26/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/18/2018,6/24/2018,Gallup,B,1500,a,0.9028708,0.2841913,41,55,42.10976,53.0396,,,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx,52669,83214,6/25/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/20/2018,6/24/2018,Ipsos,B+,1480,a,0.1314733,0.0473994,40,54.4,40.26972,53.08869,,T,http://polling.reuters.com/#poll/CP3_2/,52687,83246,6/26/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/20/2018,6/24/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0870265,0.0312671,46,52,40.76586,52.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52668,83213,6/25/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/21/2018,6/22/2018,YouGov,B,1000,a,0.1846644,0.0663053,43,50,43.82018,52.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4o438yeipa/tabs_Trump_Tweets_20180621.pdf,52662,83208,6/24/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/21/2018,6/25/2018,Ipsos,B+,1484,a,0.1316184,0.0563471,41.3,53,41.56972,51.68869,,T,http://polling.reuters.com/#poll/CP3_2/,52686,83245,6/26/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/22/2018,6/24/2018,YouGov,B,1000,a,0.1859689,0.079234,39,50,39.82018,52.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6vwn3cjnlu/tabs_Trump_Tweets_20180622.pdf,52665,83210,6/25/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/21/2018,6/25/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2639533,0.1125342,46,52,40.76586,52.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,52670,83215,6/26/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/22/2018,6/24/2018,Morning Consult,B-,1989,rv,0.5682651,0.2450676,43,54,39.57074,56.47749,,,https://morningconsult.com/wp-content/uploads/2018/06/180638_crosstabs_POLITICO_v1_DK.pdf,52691,83259,6/27/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/22/2018,6/26/2018,Ipsos,B+,1479,a,0.1311811,0.0649129,41.5,51.6,41.76972,50.28869,,T,http://polling.reuters.com/#poll/CP3_2/,52763,83358,6/29/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/21/2018,6/27/2018,SurveyMonkey,D-,10304,a,0.3249675,0.1543183,44,54,41.84014,52.53904,,,https://www.surveymonkey.com/curiosity/trump-approval-poll/,52740,83327,6/28/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/23/2018,6/24/2018,YouGov,B,1000,a,0.1881266,0.092547,45,49,45.82018,51.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9f7hy8uwiv/tabs_Trump_Tweets_20180623.pdf,52666,83211,6/25/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/24/2018,6/25/2018,Harris Interactive,C+,1448,rv,1.185821,0.7132699,47,53,43.8496,52.17472,,,http://harvardharrispoll.com/wp-content/uploads/2018/06/Final_HHP_Jun2018_RegisteredVoters_Topline_Memo.pdf,52716,83289,6/27/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,6/24/2018,6/26/2018,YouGov,B,1500,a,0.2870601,0.1599042,38,52,38.82018,54.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9gtye70ttc/econTabReport.pdf,52715,83288,6/27/2018,15:18:36  3 Jul 2018,,
